Country,Classification_2000,Classification_2022
Afghanistan,Developing,Developing
Albania,Developing,Developing
Algeria,Developing,Developing
Andorra,Developing,Developing
Angola,Developing,Developing
Antigua and Barbuda,Developing,Developing
Argentina,Emerging Industrial,Emerging Industrial
Armenia,Developing,Developing
Australia,Advanced Industrial,Advanced Industrial
Austria,Advanced Industrial,Advanced Industrial
Azerbaijan,Developing,Developing
Bahamas,Developing,Developing
Bahrain,Developing,Developing
Bangladesh,Developing,Developing
Barbados,Developing,Developing
Belarus,Developing,Developing
Belgium,Advanced Industrial,Advanced Industrial
Belize,Developing,Developing
Benin,Developing,Developing
Bhutan,Developing,Developing
Bolivia,Developing,Developing
Bosnia and Herzegovina,Developing,Developing
Botswana,Developing,Developing
Brazil,Emerging Industrial,Emerging Industrial
Brunei,Developing,Developing
Bulgaria,Developing,Developing
Burkina Faso,Developing,Developing
Burundi,Developing,Developing
Cambodia,Developing,Developing
Cameroon,Developing,Developing
Canada,Advanced Industrial,Advanced Industrial
Cape Verde,Developing,Developing
Central African Republic,Developing,Developing
Chad,Developing,Developing
Chile,Emerging Industrial,Emerging Industrial
China,Emerging Industrial,Emerging Industrial
Colombia,Developing,Developing
Comoros,Developing,Developing
"Congo, Dem. Rep.",Developing,Developing
"Congo, Rep.",Developing,Developing
Costa Rica,Developing,Developing
Cote d'Ivoire,Developing,Developing
Croatia,Developing,Developing
Cuba,Developing,Developing
Cyprus,Developing,Developing
Czech Republic,Developing,Advanced Industrial
Denmark,Advanced Industrial,Advanced Industrial
Djibouti,Developing,Developing
Dominica,Developing,Developing
Dominican Republic,Developing,Developing
Ecuador,Developing,Developing
Egypt,Developing,Developing
El Salvador,Developing,Developing
Equatorial Guinea,Developing,Developing
Eritrea,Developing,Developing
Estonia,Developing,Advanced Industrial
Eswatini,Developing,Developing
Ethiopia,Developing,Developing
Fiji,Developing,Developing
Finland,Advanced Industrial,Advanced Industrial
France,Advanced Industrial,Advanced Industrial
Gabon,Developing,Developing
Gambia,Developing,Developing
Georgia,Developing,Developing
Germany,Advanced Industrial,Advanced Industrial
Ghana,Developing,Developing
Greece,NIC,NIC
Grenada,Developing,Developing
Guatemala,Developing,Developing
Guinea,Developing,Developing
Guinea-Bissau,Developing,Developing
Guyana,Developing,Developing
Haiti,Developing,Developing
Honduras,Developing,Developing
"Hong Kong, China",NIC,NIC
Hungary,Developing,Developing
Iceland,Developing,Advanced Industrial
India,Developing,Emerging Industrial
Indonesia,Developing,Emerging Industrial
Iran,Developing,Developing
Iraq,Developing,Developing
Ireland,Advanced Industrial,Advanced Industrial
Israel,NIC,NIC
Italy,Advanced Industrial,Advanced Industrial
Jamaica,Developing,Developing
Japan,Advanced Industrial,Advanced Industrial
Jordan,Developing,Developing
Kazakhstan,Developing,Developing
Kenya,Developing,Developing
Kiribati,Developing,Developing
Kuwait,Developing,Developing
Kyrgyz Republic,Developing,Developing
Lao,Developing,Developing
Latvia,Developing,Developing
Lebanon,Developing,Developing
Lesotho,Developing,Developing
Liberia,Developing,Developing
Libya,Developing,Developing
Liechtenstein,Developing,Developing
Lithuania,Developing,NIC
Luxembourg,Developing,Advanced Industrial
Madagascar,Developing,Developing
Malawi,Developing,Developing
Malaysia,Emerging Industrial,Emerging Industrial
Maldives,Developing,Developing
Mali,Developing,Developing
Malta,Developing,Developing
Marshall Islands,Developing,Developing
Mauritania,Developing,Developing
Mauritius,Developing,Developing
Mexico,Emerging Industrial,Emerging Industrial
"Micronesia, Fed. Sts.",Developing,Developing
Moldova,Developing,Developing
Mongolia,Developing,Developing
Montenegro,Developing,Developing
Morocco,Developing,Developing
Mozambique,Developing,Developing
Myanmar,Developing,Developing
Namibia,Developing,Developing
Nauru,Developing,Developing
Nepal,Developing,Developing
Netherlands,Advanced Industrial,Advanced Industrial
New Zealand,Advanced Industrial,Advanced Industrial
Nicaragua,Developing,Developing
Niger,Developing,Developing
Nigeria,Developing,Developing
North Korea,Developing,Developing
North Macedonia,Developing,Developing
Norway,Advanced Industrial,Advanced Industrial
Oman,Developing,Developing
Pakistan,Developing,Developing
Palau,Developing,Developing
Palestine,Developing,Developing
Panama,Developing,Developing
Papua New Guinea,Developing,Developing
Paraguay,Developing,Developing
Peru,Developing,Developing
Philippines,Developing,Emerging Industrial
